acr_repo,ecr_repo,acr_tags,acr_manifests,ecr_tags,ecr_manifests,acr_only_tags,ecr_only_tags,tags_match,manifests_match
phee-ns/ph-ee-connector-channel,phee-ns/ph-ee-connector-channel,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-connector-mpesa,phee-ns/ph-ee-connector-mpesa,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-connector-slcb,phee-ns/ph-ee-connector-slcb,4,4,4,4,0,0,YES,YES
phee-ns/ph-ee-importer-es,phee-ns/ph-ee-importer-es,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-importer-rdbms,phee-ns/ph-ee-importer-rdbms,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-notifications,phee-ns/ph-ee-notifications,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-operations-app,phee-ns/ph-ee-operations-app,5,5,5,5,0,0,YES,YES
phee-ns/ph-ee-operations-web,phee-ns/ph-ee-operations-web,1,1,1,1,0,0,YES,YES
phee-ns/ph-ee-ops-web,phee-ns/ph-ee-ops-web,1,1,1,1,0,0,YES,YES
phee-ns/phee-bulk-processor,phee-ns/phee-bulk-processor,5,5,5,5,0,0,YES,YES
phee-ns/phee-zeebe-ops,phee-ns/phee-zeebe-ops,5,5,5,5,0,0,YES,YES
prom/alertmanager,prom/alertmanager,1,1,1,1,0,0,YES,YES
prom/prometheus,prom/prometheus,1,1,1,1,0,0,YES,YES
rabbitmq,rabbitmq,1,1,1,1,0,0,YES,YES
rclone-image,rclone-image,1,1,1,1,0,0,YES,YES
risk-register,risk-register,28,84,28,84,0,0,YES,YES
shs-service,shs-service,23,26,23,27,0,0,YES,NO
tools/pg-restore,tools/pg-restore,2,2,2,2,0,0,YES,YES
us.icr.io/phee-ns/ph-ee-notifications,us.icr.io/phee-ns/ph-ee-notifications,3,2,3,3,0,0,YES,NO
TOTAL,,5345,8275,5835,7731,0,490,,
